"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","BARCODE TYPE","BATCH NUMBER"
"1A4000312687484000031821","10003612","C. L. WAX BUBBA GUM",0,15,40,"CANNIBIS","USER","NA"
"1A4000312687484000031822","10003614","C. L. SHATTER TANGERINE KUSH",0,15.5,40,"CANNIBIS","USER","NA"
"1A4000312687484000031823","10003616","C L. SHATTER GHOST TRAIN HAZE",0,15.5,40,"CANNIBIS","USER","NA"
"1A4000312687484000031824","10003618","C. L. SHATTER BIO DIESEL",1,15.5,40,"CANNIBIS","USER","NA"
"1A4000312687484000031825","10003620","C. L. LIVE SUGAR TANGIE",0,30,70,"CANNIBIS","USER","NA"
"1A4000312687484000031826","10003622","C. L. LIVE SUGAR RACE FUEL",9,30,70,"CANNIBIS","USER","NA"
"1A4000312687484000031827","10003624","C. L. LIVE SHATTER STERLE KUSH",4,30,70,"CANNIBIS","USER","NA"
"1A4000312687484000031828","10003626","LOVE'S 10MG CHOCOLATE CHIP",16,2.5,6,"CANNIBIS","USER","NA"
"1A4000312687484000031829","10003628","LOVE'S BAKLAVA COOKIE BITES",8,10,25,"CANNIBIS","USER","NA"
"1A400031266Ee7E000005079","10003634","PRE-ROLL TWO BERRY-- FLOWER",2,3,10,"CANNIBIS","USER","NA"
"1A400031266Ee7E000005083","10003636","PRE-ROLL IRON TRIANGLE",5,3,10,"CANNIBIS","USER","NA"
"1A40003126874E4000007817","10003639","PLATINUM ROLLS-INDICA",18,12,25,"CANNIBIS","USER","7817"
"1a40003126874E4000007997","10003641","PLATINUM ROLLS-HYBRID",25,12,25,"CANNIBIS","USER","7997"
"1A4000312687528000002761","10003643","PYRAMID PEN GOLD 250MG HYBRID",28,10,30,"CANNIBIS","USER","NA"
"1A4000312687528000002759","10003645","PYRAMID PEN GOLD 250MG SATIVA",13,10,30,"CANNIBIS","USER","NA"
